,title,type,date,ID,clearname,fullID
V18880405MR,Hilsen til Marie Ramlo-Conrad på fotografi,greeting,1888-04-05,MR,MARIE [NICOLINA THEODORA] f. Schack ROVSING,peMR
V18880525MG,Dedikasjon til Markus Grønvold i Jægers Henrik Ibsen 1828-88,dedication,1888-05-25,MG,MARCUS [FREDRIK STEEN] GRØNVOLD,peMG
V18890607JAc,Hilsen til Janet Achurch på fotografi,greeting,1889-06-07,JAc,N/A,N/A
V18890920EBa,Stambokhilsen til Emilie Bardach,greeting,1889-09-20,EBa,EMILIE BARDACH,peEBa
V18890927EBa,Stambokhilsen til Emilie Bardach,greeting,1889-09-27,EBa,EMILIE BARDACH,peEBa
V18891118CEb,Hilsen til Clara Ebert på fotografi,greeting,1889-11-18,CEb,N/A,N/A
V18900714ESn,Hilsen (i minnebok?) til Ebba Snoilsky med diktet «Et Vers»,greeting,1890-07-14,ESn,EBBA [FREDRIKA ELEONORA] friherrinne f. Ruuth SNOILSKY,peESn
V18901219HeG,Dedikasjon til Hedwig Grønvold i Hedda Gabler,dedication,1890-12-19,HeG,HEDWIG f. Hermann GRØNVOLD,peHGr
V18901220CFDM,Hilsen til Christiane Fredrikke Magelssen på fotografi,greeting,1890-12-20,CFDM,CHRISTIANE [FREDRIKKE] MAGELSSEN,peCFDM
V18901223PLi,Hilsen til Paul Lindau på fotografi,greeting,1890-12-23,PLi,PAUL LINDAU,pePLi
V1890HJae,Dedikasjon til Henrik Jæger i Hedda Gabler,dedication,1890,HJae,N/A,N/A
V1890ABe,Hilsen til Alice Berend på fotografi,greeting,1890,ABe,N/A,N/A
V18910306VBa,Hilsen til Victor Barrucand på fotografi,greeting,1891-03-06,VBa,VICTOR BARRUCAND,peVBa
V18910413GR,Hilsen til Georg Reimers på baksiden av fotografi,greeting,1891-04-13,GR,GEORG REIMERS,peGR
V18910418EMa,Hilsen på Emilie Mataja/Emil Marriots visittkort,greeting,1891-04-18,EMa,N/A,N/A
V18910418NN,Hilsen til ukjent skrevet bakpå menykort,greeting,1891-04-18,NN,N/A,N/A
V18910418JLe,Hilsen på tysk skrevet bakpå menykort til Josef Lewinsky,greeting,1891-04-18,JLe,JOSEF LEWINSKY,peJLe
V18910501NN,Hilsen (sitat fra Kongs-Emnerne ) til NN på baksiden av fotografi,greeting,1891-05-01,NN,N/A,N/A
V189105GLu,Hilsen til Gerda Lundequist på fotografi,greeting,1891-05,GLu,N/A,N/A
V18910817NN,"Hilsen til en ung dame (Florence Sharf, senere gift med John Tellow) på baksiden av fotografi, signatur på forsiden.",greeting,1891-08-17,NN,N/A,N/A
